CustomerID,Age,Gender,Category,ItemPurchased,Amount,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases
1,58,Female,Accessories,Handbag,115.5,Autumn,Card,3.5,18,4
2,40,Male,Mens Clothing,Shirt,103.43,Spring,Card,4.1,13,4
3,66,Female,Sports,Football,35.45,Spring,Card,3.3,11,3
4,39,Female,Accessories,Handbag,153.31,Spring,Card,4.4,13,4
5,23,Female,Home,Curtains,151.43,Winter,Card,4.1,20,10
6,48,Male,Groceries,Snacks,36.76,Autumn,Card,2.5,14,2
7,54,Male,Electronics,Mobile Phone,1396.16,Autumn,Card,4.7,18,4
8,59,Female,Beauty,Perfume,35.55,Summer,Card,4.6,14,7
9,51,Male,Electronics,Smart Watch,2238.79,Spring,Card,4.3,20,5
10,47,Female,Footwear,Formal Shoes,225.49,Spring,Card,4.7,18,4
11,32,Male,Mens Clothing,T-Shirt,120.8,Spring,Card,3.2,8,4
12,31,Female,Accessories,Handbag,43.69,Summer,Card,3.6,8,4
13,21,Male,Sports,Yoga Mat,79.46,Winter,Cash on Delivery,3.8,16,8
14,22,Female,Footwear,Sandals,189.34,Summer,Card,2.9,10,5
15,47,Male,Sports,Dumbbells,222.4,Winter,Card,3.9,12,6
16,60,Male,Sports,Dumbbells,217.67,Spring,Card,4.6,27,11
17,54,Female,Footwear,Sneakers,43.8,Spring,Cash on Delivery,2.9,20,5
18,57,Female,Womens Clothing,Jeans,137.29,Autumn,Card,3.4,22,6
19,68,Female,Home,Lamp,105.48,Autumn,Card,4.5,14,7
20,22,Female,Womens Clothing,Skirt,173.52,Summer,Card,3.6,18,4
21,61,Female,Footwear,Sneakers,68.69,Autumn,Card,4.9,22,6
22,65,Female,Sports,Dumbbells,31.21,Spring,Cash on Delivery,3.8,14,7
23,25,Male,Sports,Football,142.5,Autumn,Card,5,13,4
24,35,Male,Mens Clothing,Jeans,36.98,Summer,Card,4.2,13,4
25,28,Female,Womens Clothing,Top,56.59,Winter,Card,4.1,26,8
26,41,Male,Sports,Football,46.19,Winter,Cash on Delivery,3.3,11,3
27,58,Female,Home,Lamp,137.6,Autumn,Card,3.7,11,3
28,24,Male,Sports,Yoga Mat,30.97,Autumn,Card,4.4,20,10
29,50,Female,Sports,Yoga Mat,178.68,Spring,Card,3.7,11,3
30,69,Male,Sports,Football,205.78,Autumn,Card,2.7,22,6
31,43,Male,Electronics,Smart Watch,1572.49,Autumn,Card,3.5,14,7
32,33,Male,Footwear,Formal Shoes,172.69,Spring,Card,4.6,19,7
33,58,Female,Beauty,Perfume,135.4,Spring,Card,3.7,9,2
34,26,Female,Womens Clothing,Dress,169.72,Autumn,Card,3.8,14,2
35,67,Male,Sports,Football,238.13,Winter,Card,3.3,17,6
36,32,Female,Womens Clothing,Jeans,50.2,Winter,Cash on Delivery,2.4,12,6
37,25,Female,Groceries,Rice Pack,29.2,Summer,Cash on Delivery,5,8,4
38,50,Male,Mens Clothing,Jacket,183.2,Autumn,Card,3.9,8,4
39,47,Female,Womens Clothing,Jeans,129.22,Winter,Card,3.7,14,7
40,66,Male,Sports,Yoga Mat,219.86,Spring,Card,4,2,1
41,20,Female,Beauty,Perfume,97.24,Spring,Card,4.1,19,7
42,22,Male,Electronics,Laptop,2392.7,Winter,Card,5,6,3
43,23,Female,Footwear,Formal Shoes,115.21,Summer,Card,4.2,19,7
44,66,Male,Electronics,Mobile Phone,2260.2,Spring,Card,4.6,9,2
45,53,Female,Accessories,Sunglasses,164.67,Autumn,Card,2.6,14,7
46,24,Female,Womens Clothing,Dress,65.55,Autumn,Card,3.7,14,7
47,22,Male,Mens Clothing,Shirt,62.69,Winter,Card,3.6,4,2
48,31,Female,Beauty,Makeup Set,62.91,Autumn,Card,3.5,18,4
49,36,Female,Footwear,Sneakers,165.43,Summer,Card,4.6,24,7
50,42,Female,Footwear,Sneakers,222.12,Winter,Card,3.2,18,4
51,36,Male,Home,Lamp,270.44,Winter,Card,2.3,12,6
52,25,Female,Womens Clothing,Skirt,90.54,Autumn,Cash on Delivery,4.6,18,4
53,49,Male,Home,Kitchen Set,45.03,Summer,Cash on Delivery,3.9,4,2
54,25,Female,Footwear,Formal Shoes,180.42,Autumn,Card,3.9,22,6
55,52,Female,Accessories,Handbag,117.7,Winter,Card,3.1,8,4
56,42,Female,Beauty,Makeup Set,31.42,Summer,Card,2,2,1
57,43,Female,Womens Clothing,Skirt,188.02,Autumn,Card,4.2,17,6
58,49,Male,Groceries,Snacks,54.89,Summer,Card,4.4,19,7
59,34,Male,Electronics,Headphones,1459.73,Spring,Card,4,24,7
60,58,Male,Mens Clothing,Shirt,82.99,Spring,Cash on Delivery,4.4,9,2
61,24,Male,Mens Clothing,Jeans,121.2,Summer,Card,4.3,12,6
62,55,Female,Accessories,Handbag,152.29,Winter,Card,4.7,15,5
63,59,Female,Groceries,Snacks,59.46,Winter,Cash on Delivery,4,18,4
64,70,Male,Groceries,Cooking Oil,73.3,Winter,Card,2.9,9,2
65,20,Male,Footwear,Sandals,123.79,Spring,Card,3.5,6,3
66,30,Female,Womens Clothing,Skirt,155.38,Summer,Card,3,6,3
67,25,Male,Electronics,Laptop,1951.47,Autumn,Card,3.8,14,2
68,41,Female,Footwear,Sneakers,102.92,Spring,Card,4,12,6
